tripduration,usertype
23.88020833,member
30.16521739,member
30.25964912,member
15.48125,member
109.3733333,member
12.50882353,member
9.354292929,member
5.318607955,member
11.53333333,member
32.60277778,member
19.5697411,member
17.75856611,member
20.32130802,member
-1.267037037,member
30.53095238,member
15.42298851,member
21.56225895,member
25.79617486,member
18.30954693,member
18.3696347,member
23.61722222,member
25.48652482,member
19.69537037,member
21.69911765,member
21.21397849,member
15.11194226,member
14.4097561,member
16.74939394,member
35.24166667,member
10.925,member
15.0957265,member
21.95418552,member
23.27309524,member
10.14871795,member
19.57329396,member
27.96554054,member
16.35355392,member
14.47090909,member
11.48035871,member
-36.39850299,member
49.87111111,member
42.41666667,member
35.74583333,member
30.42307692,member
24.4030303,member
23.52115385,member
55.24333333,member
39.24730903,member
17.60582011,member
21.74691358,member
168.4861111,member
17.53104167,member
43.29666667,member
31.5,member
16.02063492,member
9.025,member
25.04791667,member
25.01915888,member
12.86167513,member
20.17113527,member
15.184,member
33.20555556,member
47.34,member
13.83023256,member
-97.48269231,member
-7,member
151.2277778,member
29.93583333,member
47.68,member
50.54090909,member
26.88479891,member
19.5,member
25.8875,member
21.16746032,member
35.59604811,member
29.35784946,member
27.1969697,member
31.72959502,member
34.49366667,member
-1.359317585,member
24.22006173,member
-5.977820513,member
11.62640351,member
7.179439891,member
18.34086758,member
11.06594203,member
19.03921569,member
21.7694686,member
19.43877033,member
16.50340136,member
4.523546512,member
23.38017241,member
32.40424242,member
17.5969697,member
22.41666667,member
29.68257576,member
-100.01,member
88.73888889,member
22.63888889,member
49.32222222,member
26.49398907,member
46.39487179,member
22.61611111,member
16.32631579,member
10.91333333,member
64.7962963,member
12.96111111,member
49.4,member
16.5,member
53.40666667,member
30.37083333,member
-190.6777778,member
17.87681159,member
9.275663717,member
-3.318849206,member
21.29049708,member
15.54861111,member
18.26111111,member
21.825,member
-3.914494949,member
20.3147343,member
11.96828909,member
34.46818182,member
37.65,member
14.57916667,member
23.31666667,member
20.38754045,member
47.35151515,member
9.25,member
29.47291667,member
5.237401575,member
23.725,member
26.7545045,member
21.98504274,member
25.80111111,member
30.88906538,member
18.68864307,member
23.72820513,member
19.446875,member
29.7625,member
18.675,member
17.80166667,member
35.0125,member
34.41359649,member
39.49459459,member
20.78030303,member
11.85,member
24.77539683,member
32.49444444,member
23.11594203,member
31.26767677,member
48.61333333,member
8.733333333,member
-85.48479532,member
33.50432099,member
22.5372549,member
-298.0635417,member
63.99583333,member
19.37094017,member
24.42419355,member
